x,y,z
10,30,0
11,30,0
12,30,0
13,30,0
14,30,0
15,30,0
16,30,0
8,29,0
9,29,0
10,29,0
11,29,0
12,29,0
13,29,0
14,29,0
15,29,0
16,29,0
17,29,0
18,29,0
7,29,0
6,28,0
7,28,0
8,28,0
9,28,0
10,28,0
11,28,0
12,28,0
13,28,0
14,28,0
15,28,0
16,28,0
17,28,0
18,28,0
19,28,0
20,28,0
5,27,0
6,27,0
7,27,0
8,27,0
9,27,0
10,27,0
11,27,0
12,27,0
13,27,0
14,27,0
15,27,0
16,27,0
17,27,0
18,27,0
19,27,0
20,27,0
21,27,0
4,27,0
4,26,0
5,26,0
6,26,0
7,26,0
8,26,0
9,26,0
10,26,0
11,26,0
12,26,0
13,26,0
14,26,0
15,26,0
16,26,0
17,26,0
18,26,0
19,26,0
20,26,0
21,26,0
3,26,0
3,25,0
4,25,0
5,25,0
6,25,0
7,25,0
8,25,0
9,25,0
10,25,0
11,25,0
12,25,0
13,25,0
14,25,0
15,25,0
16,25,0
17,25,0
18,25,0
19,25,0
20,25,0
21,25,0
2,25,0
2,24,0
3,24,0
4,24,0
5,24,0
6,24,0
7,24,0
8,24,0
9,24,0
10,24,0
16,24,0
17,24,0
18,24,0
19,24,0
20,24,0
1,24,0
1,23,0
2,23,0
3,23,0
4,23,0
5,23,0
6,23,0
7,23,0
18,23,0
23,23,0
24,23,0
22,23,0
1,22,0
2,22,0
3,22,0
4,22,0
5,22,0
6,22,0
22,22,0
23,22,0
24,22,0
0,22,0
0,21,0
1,21,0
2,21,0
3,21,0
4,21,0
5,21,0
6,21,0
23,21,0
24,21,0
0,20,0
1,20,0
2,20,0
3,20,0
4,20,0
5,20,0
24,20,0
0,19,0
1,19,0
2,19,0
3,19,0
4,19,0
5,19,0
11,19,0
12,19,0
13,19,0
14,19,0
20,19,0
21,19,0
22,19,0
24,19,0
25,19,0
15,19,0
0,18,0
1,18,0
2,18,0
3,18,0
4,18,0
5,18,0
10,18,0
11,18,0
12,18,0
13,18,0
14,18,0
15,18,0
20,18,0
21,18,0
22,18,0
24,18,0
25,18,0
0,17,0
1,17,0
2,17,0
3,17,0
4,17,0
10,17,0
11,17,0
12,17,0
13,17,0
14,17,0
15,17,0
0,16,0
1,16,0
2,16,0
3,16,0
4,16,0
10,16,0
11,16,0
12,16,0
13,16,0
14,16,0
15,16,0
21,16,0
22,16,0
24,16,0
25,16,0
20,16,0
0,15,0
1,15,0
2,15,0
3,15,0
4,15,0
5,15,0
10,15,0
11,15,0
12,15,0
13,15,0
14,15,0
15,15,0
20,15,0
21,15,0
22,15,0
24,15,0
25,15,0
0,14,0
1,14,0
2,14,0
3,14,0
4,14,0
5,14,0
11,14,0
12,14,0
13,14,0
14,14,0
20,14,0
21,14,0
22,14,0
24,14,0
25,14,0
0,13,0
1,13,0
2,13,0
3,13,0
4,13,0
5,13,0
0,12,0
1,12,0
2,12,0
3,12,0
4,12,0
5,12,0
6,12,0
23,12,0
24,12,0
22,12,0
1,11,0
2,11,0
3,11,0
4,11,0
5,11,0
6,11,0
22,11,0
23,11,0
24,11,0
7,11,0
18,11,0
1,10,0
2,10,0
3,10,0
4,10,0
5,10,0
6,10,0
7,10,0
8,10,0
18,10,0
19,10,0
23,10,0
24,10,0
17,10,0
2,9,0
3,9,0
4,9,0
5,9,0
6,9,0
7,9,0
8,9,0
9,9,0
16,9,0
17,9,0
18,9,0
19,9,0
20,9,0
10,9,0
11,9,0
15,9,0
3,8,0
4,8,0
5,8,0
6,8,0
7,8,0
8,8,0
9,8,0
10,8,0
11,8,0
12,8,0
13,8,0
14,8,0
15,8,0
16,8,0
17,8,0
18,8,0
19,8,0
20,8,0
21,8,0
4,7,0
5,7,0
6,7,0
7,7,0
8,7,0
9,7,0
10,7,0
11,7,0
12,7,0
13,7,0
14,7,0
15,7,0
16,7,0
17,7,0
18,7,0
19,7,0
20,7,0
21,7,0
22,7,0
5,6,0
6,6,0
7,6,0
8,6,0
9,6,0
10,6,0
11,6,0
12,6,0
13,6,0
14,6,0
15,6,0
16,6,0
17,6,0
18,6,0
19,6,0
20,6,0
21,6,0
7,5,0
8,5,0
9,5,0
10,5,0
11,5,0
12,5,0
13,5,0
14,5,0
15,5,0
16,5,0
17,5,0
18,5,0
9,4,0
10,4,0
11,4,0
12,4,0
13,4,0
14,4,0
15,4,0
16,4,0
