x,y,z
10,27,0
11,27,0
18,27,0
19,27,0
8,26,0
9,26,0
10,26,0
11,26,0
18,26,0
19,26,0
20,26,0
21,26,0
7,25,0
8,25,0
9,25,0
10,25,0
11,25,0
18,25,0
19,25,0
20,25,0
21,25,0
5,24,0
6,24,0
7,24,0
8,24,0
9,24,0
10,24,0
11,24,0
18,24,0
19,24,0
20,24,0
21,24,0
24,24,0
3,23,0
4,23,0
5,23,0
6,23,0
7,23,0
8,23,0
9,23,0
10,23,0
11,23,0
18,23,0
19,23,0
20,23,0
21,23,0
24,23,0
25,23,0
26,23,0
2,22,0
3,22,0
4,22,0
5,22,0
6,22,0
7,22,0
8,22,0
9,22,0
18,22,0
19,22,0
20,22,0
21,22,0
24,22,0
25,22,0
26,22,0
27,22,0
2,21,0
3,21,0
4,21,0
5,21,0
6,21,0
7,21,0
18,21,0
19,21,0
20,21,0
21,21,0
24,21,0
25,21,0
26,21,0
27,21,0
2,20,0
3,20,0
4,20,0
5,20,0
10,20,0
11,20,0
18,20,0
19,20,0
20,20,0
21,20,0
24,20,0
25,20,0
26,20,0
27,20,0
2,19,0
3,19,0
4,19,0
5,19,0
8,19,0
9,19,0
10,19,0
11,19,0
18,19,0
19,19,0
20,19,0
21,19,0
24,19,0
25,19,0
26,19,0
27,19,0
2,18,0
3,18,0
4,18,0
5,18,0
8,18,0
9,18,0
10,18,0
11,18,0
18,18,0
19,18,0
20,18,0
21,18,0
24,18,0
25,18,0
26,18,0
27,18,0
2,17,0
3,17,0
4,17,0
5,17,0
8,17,0
9,17,0
10,17,0
11,17,0
18,17,0
19,17,0
20,17,0
21,17,0
24,17,0
25,17,0
26,17,0
27,17,0
2,16,0
3,16,0
4,16,0
5,16,0
8,16,0
9,16,0
10,16,0
11,16,0
12,16,0
13,16,0
14,16,0
15,16,0
16,16,0
17,16,0
18,16,0
19,16,0
20,16,0
21,16,0
24,16,0
25,16,0
26,16,0
27,16,0
2,15,0
3,15,0
4,15,0
5,15,0
8,15,0
9,15,0
10,15,0
11,15,0
12,15,0
13,15,0
14,15,0
15,15,0
16,15,0
17,15,0
18,15,0
19,15,0
20,15,0
21,15,0
24,15,0
25,15,0
26,15,0
27,15,0
2,14,0
3,14,0
4,14,0
5,14,0
8,14,0
9,14,0
10,14,0
11,14,0
12,14,0
13,14,0
14,14,0
15,14,0
16,14,0
17,14,0
18,14,0
19,14,0
20,14,0
21,14,0
24,14,0
25,14,0
26,14,0
27,14,0
2,13,0
3,13,0
4,13,0
5,13,0
8,13,0
9,13,0
10,13,0
11,13,0
12,13,0
13,13,0
14,13,0
15,13,0
16,13,0
17,13,0
18,13,0
19,13,0
20,13,0
21,13,0
24,13,0
25,13,0
26,13,0
27,13,0
2,12,0
3,12,0
4,12,0
5,12,0
8,12,0
9,12,0
10,12,0
11,12,0
18,12,0
19,12,0
20,12,0
21,12,0
24,12,0
25,12,0
26,12,0
27,12,0
2,11,0
3,11,0
4,11,0
5,11,0
8,11,0
9,11,0
10,11,0
11,11,0
18,11,0
19,11,0
20,11,0
21,11,0
24,11,0
25,11,0
26,11,0
27,11,0
2,10,0
3,10,0
4,10,0
5,10,0
8,10,0
9,10,0
10,10,0
11,10,0
18,10,0
19,10,0
20,10,0
21,10,0
24,10,0
25,10,0
26,10,0
27,10,0
2,9,0
3,9,0
4,9,0
5,9,0
8,9,0
9,9,0
10,9,0
11,9,0
18,9,0
19,9,0
24,9,0
25,9,0
26,9,0
27,9,0
2,8,0
3,8,0
4,8,0
5,8,0
8,8,0
9,8,0
10,8,0
11,8,0
22,8,0
23,8,0
24,8,0
25,8,0
26,8,0
27,8,0
2,7,0
3,7,0
4,7,0
5,7,0
8,7,0
9,7,0
10,7,0
11,7,0
20,7,0
21,7,0
22,7,0
23,7,0
24,7,0
25,7,0
26,7,0
27,7,0
3,6,0
4,6,0
5,6,0
8,6,0
9,6,0
10,6,0
11,6,0
18,6,0
19,6,0
20,6,0
21,6,0
22,6,0
23,6,0
24,6,0
25,6,0
26,6,0
5,5,0
8,5,0
9,5,0
10,5,0
11,5,0
18,5,0
19,5,0
20,5,0
21,5,0
22,5,0
23,5,0
24,5,0
8,4,0
9,4,0
10,4,0
11,4,0
18,4,0
19,4,0
20,4,0
21,4,0
22,4,0
9,3,0
10,3,0
11,3,0
18,3,0
19,3,0
20,3,0
10,2,0
11,2,0
18,2,0
19,2,0
