x,y,z
0,30,0
0,29,0
1,29,0
2,29,0
0,28,0
1,28,0
2,28,0
3,28,0
0,27,0
1,27,0
2,27,0
3,27,0
4,27,0
5,27,0
0,26,0
1,26,0
2,26,0
3,26,0
4,26,0
5,26,0
6,26,0
0,25,0
1,25,0
2,25,0
3,25,0
4,25,0
5,25,0
6,25,0
7,25,0
8,25,0
22,25,0
9,25,0
21,25,0
0,24,0
1,24,0
2,24,0
3,24,0
4,24,0
5,24,0
6,24,0
7,24,0
8,24,0
9,24,0
10,24,0
20,24,0
21,24,0
22,24,0
0,23,0
1,23,0
2,23,0
3,23,0
4,23,0
5,23,0
6,23,0
7,23,0
8,23,0
9,23,0
10,23,0
11,23,0
19,23,0
20,23,0
21,23,0
22,23,0
12,23,0
18,23,0
0,22,0
1,22,0
2,22,0
3,22,0
4,22,0
5,22,0
6,22,0
7,22,0
8,22,0
9,22,0
10,22,0
11,22,0
12,22,0
13,22,0
17,22,0
18,22,0
19,22,0
20,22,0
21,22,0
22,22,0
14,22,0
0,21,0
1,21,0
2,21,0
3,21,0
4,21,0
5,21,0
6,21,0
7,21,0
8,21,0
9,21,0
10,21,0
11,21,0
12,21,0
13,21,0
14,21,0
16,21,0
17,21,0
18,21,0
19,21,0
20,21,0
21,21,0
22,21,0
15,21,0
1,20,0
2,20,0
3,20,0
4,20,0
5,20,0
6,20,0
7,20,0
8,20,0
9,20,0
10,20,0
11,20,0
12,20,0
13,20,0
14,20,0
15,20,0
16,20,0
17,20,0
18,20,0
19,20,0
20,20,0
21,20,0
22,20,0
3,19,0
4,19,0
5,19,0
6,19,0
7,19,0
8,19,0
9,19,0
10,19,0
11,19,0
12,19,0
13,19,0
14,19,0
15,19,0
16,19,0
17,19,0
18,19,0
19,19,0
20,19,0
21,19,0
22,19,0
5,18,0
6,18,0
7,18,0
8,18,0
9,18,0
10,18,0
11,18,0
12,18,0
13,18,0
14,18,0
15,18,0
16,18,0
17,18,0
18,18,0
19,18,0
20,18,0
21,18,0
22,18,0
6,17,0
7,17,0
8,17,0
9,17,0
10,17,0
11,17,0
12,17,0
13,17,0
14,17,0
15,17,0
16,17,0
17,17,0
18,17,0
19,17,0
20,17,0
21,17,0
22,17,0
8,16,0
9,16,0
10,16,0
11,16,0
12,16,0
13,16,0
14,16,0
15,16,0
16,16,0
17,16,0
18,16,0
19,16,0
20,16,0
21,16,0
22,16,0
8,15,0
9,15,0
10,15,0
11,15,0
12,15,0
13,15,0
14,15,0
15,15,0
16,15,0
17,15,0
18,15,0
19,15,0
20,15,0
8,14,0
9,14,0
10,14,0
11,14,0
12,14,0
13,14,0
14,14,0
15,14,0
16,14,0
17,14,0
18,14,0
8,13,0
9,13,0
10,13,0
11,13,0
12,13,0
13,13,0
14,13,0
15,13,0
16,13,0
17,13,0
8,12,0
9,12,0
10,12,0
11,12,0
12,12,0
13,12,0
14,12,0
15,12,0
8,11,0
9,11,0
10,11,0
11,11,0
12,11,0
13,11,0
14,11,0
15,11,0
8,10,0
9,10,0
10,10,0
11,10,0
12,10,0
13,10,0
14,10,0
15,10,0
8,9,0
9,9,0
10,9,0
11,9,0
12,9,0
13,9,0
14,9,0
15,9,0
8,8,0
9,8,0
10,8,0
11,8,0
12,8,0
13,8,0
14,8,0
15,8,0
8,7,0
9,7,0
10,7,0
11,7,0
12,7,0
13,7,0
14,7,0
15,7,0
10,6,0
11,6,0
12,6,0
13,6,0
14,6,0
15,6,0
11,5,0
12,5,0
13,5,0
14,5,0
15,5,0
14,4,0
15,4,0
