x,y,z
0,27,0
1,27,0
2,27,0
3,27,0
4,27,0
5,27,0
6,27,0
7,27,0
8,27,0
9,27,0
10,27,0
11,27,0
12,27,0
13,27,0
15,27,0
16,27,0
17,27,0
18,27,0
19,27,0
20,27,0
22,27,0
23,27,0
24,27,0
25,27,0
26,27,0
27,27,0
28,27,0
29,27,0
30,27,0
0,26,0
1,26,0
2,26,0
3,26,0
4,26,0
5,26,0
6,26,0
7,26,0
8,26,0
9,26,0
10,26,0
11,26,0
12,26,0
13,26,0
15,26,0
16,26,0
17,26,0
18,26,0
19,26,0
20,26,0
22,26,0
23,26,0
24,26,0
25,26,0
26,26,0
27,26,0
28,26,0
29,26,0
30,26,0
21,26,0
0,25,0
1,25,0
2,25,0
3,25,0
4,25,0
5,25,0
6,25,0
7,25,0
8,25,0
9,25,0
10,25,0
11,25,0
12,25,0
13,25,0
15,25,0
16,25,0
17,25,0
18,25,0
19,25,0
20,25,0
21,25,0
23,25,0
24,25,0
25,25,0
26,25,0
27,25,0
28,25,0
29,25,0
14,25,0
1,24,0
2,24,0
3,24,0
4,24,0
5,24,0
6,24,0
7,24,0
8,24,0
9,24,0
10,24,0
11,24,0
12,24,0
13,24,0
14,24,0
16,24,0
17,24,0
18,24,0
19,24,0
20,24,0
21,24,0
23,24,0
24,24,0
25,24,0
26,24,0
27,24,0
28,24,0
29,24,0
22,24,0
2,23,0
3,23,0
4,23,0
5,23,0
6,23,0
7,23,0
8,23,0
9,23,0
10,23,0
11,23,0
12,23,0
13,23,0
14,23,0
15,23,0
16,23,0
17,23,0
18,23,0
19,23,0
20,23,0
21,23,0
22,23,0
24,23,0
25,23,0
26,23,0
27,23,0
28,23,0
2,22,0
3,22,0
4,22,0
5,22,0
6,22,0
7,22,0
8,22,0
9,22,0
10,22,0
11,22,0
12,22,0
13,22,0
14,22,0
15,22,0
17,22,0
18,22,0
19,22,0
20,22,0
21,22,0
22,22,0
25,22,0
26,22,0
27,22,0
23,22,0
3,21,0
4,21,0
5,21,0
6,21,0
7,21,0
8,21,0
10,21,0
11,21,0
12,21,0
13,21,0
14,21,0
15,21,0
16,21,0
18,21,0
19,21,0
20,21,0
21,21,0
22,21,0
23,21,0
25,21,0
26,21,0
27,21,0
4,20,0
5,20,0
6,20,0
7,20,0
8,20,0
9,20,0
11,20,0
12,20,0
13,20,0
14,20,0
15,20,0
16,20,0
19,20,0
20,20,0
21,20,0
22,20,0
23,20,0
24,20,0
26,20,0
4,19,0
5,19,0
6,19,0
7,19,0
8,19,0
9,19,0
12,19,0
13,19,0
14,19,0
15,19,0
16,19,0
17,19,0
19,19,0
20,19,0
21,19,0
22,19,0
23,19,0
24,19,0
5,18,0
6,18,0
7,18,0
8,18,0
9,18,0
10,18,0
12,18,0
13,18,0
14,18,0
15,18,0
16,18,0
17,18,0
20,18,0
21,18,0
22,18,0
23,18,0
24,18,0
25,18,0
18,18,0
19,18,0
5,17,0
6,17,0
7,17,0
8,17,0
9,17,0
10,17,0
13,17,0
14,17,0
15,17,0
16,17,0
17,17,0
18,17,0
19,17,0
20,17,0
21,17,0
22,17,0
23,17,0
24,17,0
11,17,0
6,16,0
7,16,0
8,16,0
9,16,0
10,16,0
11,16,0
13,16,0
14,16,0
15,16,0
16,16,0
17,16,0
18,16,0
19,16,0
20,16,0
21,16,0
22,16,0
23,16,0
24,16,0
6,15,0
7,15,0
8,15,0
9,15,0
10,15,0
11,15,0
14,15,0
15,15,0
16,15,0
17,15,0
18,15,0
19,15,0
20,15,0
21,15,0
22,15,0
23,15,0
12,15,0
7,14,0
8,14,0
9,14,0
10,14,0
11,14,0
12,14,0
15,14,0
16,14,0
17,14,0
18,14,0
19,14,0
20,14,0
21,14,0
22,14,0
13,14,0
8,13,0
9,13,0
10,13,0
11,13,0
12,13,0
13,13,0
15,13,0
16,13,0
17,13,0
18,13,0
19,13,0
20,13,0
21,13,0
22,13,0
8,12,0
9,12,0
10,12,0
11,12,0
12,12,0
13,12,0
15,12,0
16,12,0
17,12,0
18,12,0
19,12,0
20,12,0
21,12,0
22,12,0
14,12,0
9,11,0
10,11,0
11,11,0
12,11,0
13,11,0
14,11,0
16,11,0
17,11,0
18,11,0
19,11,0
20,11,0
21,11,0
9,10,0
10,10,0
11,10,0
12,10,0
13,10,0
17,10,0
18,10,0
19,10,0
20,10,0
10,9,0
11,9,0
12,9,0
17,9,0
18,9,0
19,9,0
20,9,0
10,8,0
11,8,0
12,8,0
18,8,0
19,8,0
